created_at,request_time,request_type,team_name,status,settlement_status,name,email,amount,currency_code,title,"accounting system code","image url"
"2022-05-09 03:01:39","2022-05-09 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,100.00,SGD,"Default Message",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62781383ead66/fpltffy51y2ws8c2fyvlhvwpgqsspjks.jpg
"2022-05-09 02:59:17","2022-05-09 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,100.00,SGD,"Default Message",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/627812f6d2e83/5icrarn345xyyi25v75nic26euwas8ks.jpg
"2022-05-09 02:54:47","2022-05-09 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,100.00,SGD,"Default Message",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/627811e8c3677/hmxlkhs245oexewnn14oqaeuy3l5an0b.jpg
"2022-05-09 02:52:42","2022-05-09 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,100.00,SGD,"Default Message",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/6278116bb9ce9/sn20g3wb7koreb6ycki0iwd6sx496ljn.jpg
"2022-05-09 02:45:20","2022-05-09 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780fb12300e/2g58sovv4i7yedq2uk57e2hew2g1el16.jpg
"2022-05-09 02:42:50","2022-05-09 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780f1b86291/uw5wgw4nmof8p8gq0pse7xnlzwi94leq.jpg
"2022-05-09 02:41:32","2022-05-09 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780ecd03483/hcb3p47h5nzegpj1bhrs5tsipdo62u23.jpg
"2022-05-09 02:32:31","2022-05-09 08:00:00",reimbursement,"BEL DEL",approved,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780cb0d72c7/opvc6oayvrttf5lchvgyxhra87spjlnb.jpg
"2022-05-09 02:30:06","2022-05-08 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780c1edeb5e/egrx3r67m27fo3zgc1fxhb2h286l85sl.jpg
"2022-05-09 02:22:26","2022-05-08 08:00:00",reimbursement,"BEL DEL",approved,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780a534e204/a1eyd2qsouhwo9byg0bdarp5zuep9w5w.jpg
"2022-05-09 02:21:25","2022-05-08 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780a16a7047/69jzhtq5uw739sj2syefe2hdmk1uef31.jpg
"2022-05-09 02:18:32","2022-05-08 08:00:00",reimbursement,"BEL DEL",approved,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/62780969940d3/v9wy46w2d8dnvz2h3z9pjmcyqgga5kag.jpg
"2022-05-09 02:15:34","2022-05-08 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/627808b79e286/rrbu0ok3ki5f2vulxjzhbtwj1smmq5ja.jpg
"2022-05-09 02:12:00","2022-05-08 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/627807e171798/gahkhjuhj9xcmbzp2pwekrntllxfiizq.jpg
"2022-05-09 02:10:53","2022-05-08 08:00:00",reimbursement,"BEL DEL",pending,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/6278079e5500e/ihemlf4bpn5727o4352vdjo6ivwo55sq.jpg
"2022-05-09 02:08:08","2022-05-08 08:00:00",reimbursement,"BEL DEL",approved,pending,admin,admin@bd.com,103.00,SGD,"Default Message new",433,https://spenmo-staging-monolith.s3-ap-southeast-1.amazonaws.com/receipts/60519c749e504/2022-05-08/627806f967d6a/bbttd6okaaw3xrwu0uxk6mjhnlamun7r.jpg
